iter	Logloss
0	0.6888561004
1	0.6847745951
2	0.681165712
3	0.677728492
4	0.6740954294
5	0.6701649779
6	0.6668902714
7	0.6635074733
8	0.6603495175
9	0.6567577937
10	0.6532612773
11	0.649999161
12	0.6472339342
13	0.6439979859
14	0.6403991096
15	0.6368556692
16	0.6339529188
17	0.630958193
18	0.6281078905
19	0.6252370255
20	0.6222116145
21	0.619280918
22	0.6170660185
23	0.6138453698
24	0.6116120385
25	0.6089523894
26	0.6062436724
27	0.6041434957
28	0.6017309635
29	0.5995064986
30	0.5973373549
31	0.5950094182
32	0.5930326479
33	0.5909225009
34	0.5894075936
35	0.5874989008
36	0.5858636973
37	0.584420128
38	0.582739431
39	0.5810424942
40	0.5793611836
41	0.5771588216
42	0.5752583406
43	0.5733367174
44	0.5716128823
45	0.5698004568
46	0.5678466838
47	0.5661171852
48	0.5639431305
49	0.5628266219
50	0.5615807945
51	0.5599121203
52	0.5582908938
53	0.5572920739
54	0.5556652046
55	0.5541099373
56	0.5524115085
57	0.550805527
58	0.5493394219
59	0.547745173
60	0.5467082382
61	0.545565321
62	0.5440709056
63	0.5429357539
64	0.5416689975
65	0.5400867753
66	0.5389842631
67	0.5372187567
68	0.5359458966
69	0.5345312199
70	0.5333125434
71	0.5320314037
72	0.5307286917
73	0.5295402157
74	0.5286013281
75	0.5270986248
76	0.5264467854
77	0.5253802236
78	0.5244838864
79	0.5233093462
80	0.5220696392
81	0.5210197325
82	0.5197235905
83	0.518523341
84	0.5174493371
85	0.5162044487
86	0.5155173481
87	0.5145129667
88	0.5135113248
89	0.5125822281
90	0.5115462406
91	0.5104566852
92	0.5095240243
93	0.5087361009
94	0.5077229537
95	0.5063462591
96	0.5052792646
97	0.5045389474
98	0.5036544406
99	0.5029221463
100	0.5021317104
101	0.5012109555
102	0.5005163108
103	0.4994899504
104	0.4987106388
105	0.4975619153
106	0.496840492
107	0.496297458
108	0.4954415192
109	0.494326278
110	0.4933970982
111	0.49247813
112	0.4917194895
113	0.4908941868
114	0.4901476441
115	0.4890965246
116	0.4879981965
117	0.4873678979
118	0.4864642978
119	0.485363971
120	0.484649447
121	0.4837270678
122	0.4829579641
123	0.4821873729
124	0.4815572597
125	0.4809570655
126	0.4804257304
127	0.479800322
128	0.4792823147
129	0.4787294563
130	0.477963601
131	0.477083322
132	0.4765375485
133	0.4755744895
134	0.4750487139
135	0.4742896281
136	0.4738131441
137	0.4732459064
138	0.4726956681
139	0.4718435439
140	0.4710332418
141	0.4702984809
142	0.4696350539
143	0.4689712587
144	0.4681202067
145	0.4674030209
146	0.4669047865
147	0.4663710455
148	0.4658890516
149	0.4654411594
150	0.4646335725
151	0.4640767857
152	0.4633891578
153	0.4628330326
154	0.4621704249
155	0.4613480431
156	0.4607302414
157	0.4600589598
158	0.4597419943
159	0.4591304162
160	0.458330829
161	0.4575497374
162	0.4570971454
163	0.4565859068
164	0.4560903948
165	0.4556101278
166	0.4550344274
167	0.4542760314
168	0.4536060036
169	0.4529597052
170	0.4524108977
171	0.451743162
172	0.4513340239
173	0.4507108292
174	0.4500444706
175	0.4494269738
176	0.4488728113
177	0.4481992519
178	0.4475097664
179	0.4469739053
180	0.4464980877
181	0.4459209605
182	0.4452000085
183	0.4446609115
184	0.4438746732
185	0.44316838
186	0.4426062723
