iter	Passed	Remaining
0	4	4842
1	9	4592
2	13	4567
3	17	4447
4	21	4348
5	25	4273
6	30	4275
7	34	4222
8	38	4223
9	42	4196
10	47	4227
11	54	4489
12	60	4610
13	65	4635
14	70	4621
15	75	4618
16	80	4628
17	84	4624
18	88	4590
19	93	4581
20	98	4588
21	102	4572
22	107	4555
23	111	4528
24	116	4531
25	121	4566
26	126	4561
27	131	4563
28	136	4559
29	141	4566
30	145	4543
31	149	4530
32	154	4520
33	158	4509
34	162	4484
35	166	4456
36	170	4436
37	174	4428
38	178	4410
39	182	4380
40	186	4361
41	190	4348
42	194	4320
43	198	4306
44	201	4286
45	205	4267
46	209	4256
47	213	4242
48	217	4223
49	220	4192
50	224	4170
51	227	4155
52	231	4133
53	235	4125
54	240	4128
55	248	4185
56	257	4262
57	263	4281
58	268	4283
59	274	4298
60	280	4310
61	285	4312
62	290	4323
63	295	4320
64	299	4312
65	304	4309
66	310	4317
67	315	4325
68	321	4331
69	326	4338
70	332	4345
71	336	4341
72	341	4334
73	345	4329
74	350	4321
75	355	4317
76	358	4301
77	363	4299
78	368	4290
79	372	4288
80	376	4273
81	381	4265
82	384	4250
83	389	4242
84	392	4227
85	396	4217
86	400	4200
87	404	4194
88	408	4176
89	412	4166
90	416	4156
91	420	4147
92	427	4173
93	436	4205
94	440	4198
95	445	4195
96	450	4191
97	454	4187
98	459	4182
99	464	4176
100	469	4177
101	473	4168
102	478	4165
103	483	4168
104	488	4164
105	493	4164
106	498	4158
107	502	4152
108	506	4143
109	510	4133
110	515	4125
111	519	4115
112	523	4105
113	526	4095
114	530	4085
115	534	4075
116	538	4065
117	542	4056
118	546	4048
119	550	4039
120	554	4026
121	558	4016
122	562	4008
123	566	4001
124	570	3992
125	574	3986
126	582	4002
127	588	4009
128	593	4005
129	598	4008
130	603	4005
131	608	4000
132	613	3999
133	617	3992
134	622	3989
135	627	3985
136	631	3979
137	636	3972
138	640	3966
139	645	3963
140	649	3956
141	654	3953
142	659	3949
143	663	3945
144	667	3938
145	672	3931
146	675	3921
147	679	3913
148	683	3902
149	687	3895
150	691	3886
151	695	3878
152	699	3869
153	703	3862
154	706	3852
155	710	3845
156	714	3836
157	717	3825
158	721	3816
159	725	3806
160	728	3797
161	732	3788
162	736	3779
163	739	3769
164	743	3762
165	747	3757
166	752	3751
167	758	3757
168	765	3764
169	771	3768
170	776	3766
171	782	3765
172	787	3766
173	793	3766
174	798	3762
175	803	3760
176	807	3754
177	811	3748
178	815	3742
179	822	3744
180	827	3743
181	832	3740
182	837	3738
183	843	3739
184	848	3735
185	852	3731
186	856	3724
187	860	3717
188	864	3711
189	869	3706
190	873	3700
191	877	3692
192	881	3685
193	885	3676
194	888	3669
195	892	3662
196	896	3653
197	900	3645
198	903	3637
199	907	3629
200	910	3620
201	914	3613
202	918	3604
203	921	3597
204	925	3588
205	928	3578
206	931	3569
207	935	3561
208	940	3561
209	946	3560
210	952	3559
211	957	3558
212	961	3553
213	965	3546
214	970	3542
215	974	3537
216	978	3530
217	982	3524
218	986	3518
219	990	3513
220	995	3507
221	999	3501
222	1004	3498
223	1008	3493
224	1012	3489
225	1017	3485
226	1022	3482
227	1026	3477
228	1030	3470
229	1035	3465
230	1039	3459
231	1043	3453
232	1047	3447
233	1051	3441
234	1055	3434
235	1058	3427
236	1062	3420
237	1066	3414
238	1070	3407
239	1073	3400
240	1077	3392
241	1080	3384
242	1084	3377
243	1087	3368
244	1090	3359
245	1093	3351
246	1096	3343
247	1101	3338
248	1104	3331
249	1109	3328
250	1115	3329
251	1121	3329
252	1126	3326
253	1131	3322
254	1136	3320
255	1140	3315
256	1145	3310
257	1149	3307
258	1154	3303
259	1159	3300
260	1163	3294
261	1168	3290
262	1172	3285
263	1176	3281
264	1181	3276
265	1185	3271
266	1190	3266
267	1194	3262
268	1199	3259
269	1203	3254
270	1207	3248
271	1211	3242
272	1215	3236
273	1219	3230
274	1223	3224
275	1227	3218
276	1231	3213
277	1234	3206
278	1238	3200
279	1242	3194
280	1246	3188
281	1250	3183
282	1254	3177
283	1257	3170
284	1261	3165
285	1265	3160
286	1269	3153
287	1273	3148
288	1276	3140
289	1279	3132
290	1282	3125
291	1286	3118
292	1289	3112
293	1296	3113
294	1301	3110
295	1306	3108
296	1312	3107
297	1317	3103
298	1322	3099
299	1326	3096
300	1332	3093
301	1336	3089
302	1341	3085
303	1346	3082
304	1350	3077
305	1354	3072
306	1359	3069
307	1364	3065
308	1370	3064
309	1375	3060
310	1380	3057
311	1385	3055
312	1389	3049
313	1394	3045
314	1398	3040
315	1402	3036
316	1407	3032
317	1411	3027
318	1415	3021
319	1419	3015
320	1423	3011
321	1427	3006
322	1431	3001
323	1435	2995
324	1440	2991
325	1444	2987
326	1449	2982
327	1453	2976
328	1457	2973
329	1462	2969
330	1467	2966
331	1475	2968
332	1482	2970
333	1488	2968
334	1494	2966
335	1499	2963
336	1503	2958
337	1509	2957
338	1513	2951
339	1518	2947
340	1523	2943
341	1527	2938
342	1531	2933
343	1535	2928
344	1540	2925
345	1544	2919
346	1548	2914
347	1553	2909
348	1557	2905
349	1561	2900
350	1565	2894
351	1569	2888
352	1573	2883
353	1576	2877
354	1580	2871
355	1584	2865
356	1588	2860
357	1591	2854
358	1595	2848
359	1599	2842
360	1603	2837
361	1606	2831
362	1609	2824
363	1613	2818
364	1616	2811
365	1619	2805
366	1622	2799
367	1625	2792
368	1628	2785
369	1631	2778
370	1635	2773
371	1640	2768
372	1645	2766
373	1652	2765
374	1657	2762
375	1662	2758
376	1666	2754
377	1671	2750
378	1675	2745
379	1680	2741
380	1684	2737
381	1688	2732
382	1693	2727
383	1698	2724
384	1703	2720
385	1706	2714
386	1711	2711
387	1716	2706
388	1721	2703
389	1724	2697
390	1728	2692
391	1732	2686
392	1737	2683
393	1741	2677
394	1745	2673
395	1749	2668
396	1753	2663
397	1757	2657
398	1761	2652
399	1764	2646
400	1769	2642
401	1772	2637
402	1777	2632
403	1781	2627
404	1785	2622
405	1788	2617
406	1793	2613
407	1800	2612
408	1809	2614
409	1814	2611
410	1820	2608
411	1824	2603
412	1828	2599
413	1833	2595
414	1838	2591
415	1842	2586
416	1846	2581
417	1850	2577
418	1855	2573
419	1861	2570
420	1866	2566
421	1870	2561
422	1874	2556
423	1878	2551
424	1881	2546
425	1885	2540
426	1889	2535
427	1892	2529
428	1896	2523
429	1899	2517
430	1902	2511
431	1906	2506
432	1909	2500
433	1912	2494
434	1916	2488
435	1919	2482
436	1922	2476
437	1925	2470
438	1928	2464
439	1931	2458
440	1934	2452
441	1937	2446
442	1940	2439
443	1943	2434
444	1947	2428
445	1951	2423
446	1959	2424
447	1965	2421
448	1969	2417
449	1974	2412
450	1978	2408
451	1981	2402
452	1985	2397
453	1989	2392
454	1993	2388
455	1997	2383
456	2001	2378
457	2005	2373
458	2009	2368
459	2013	2364
460	2017	2358
461	2021	2354
462	2025	2349
463	2030	2345
464	2034	2341
465	2039	2336
466	2043	2332
467	2047	2327
468	2051	2323
469	2055	2318
470	2060	2313
471	2064	2309
472	2068	2304
473	2071	2299
474	2076	2294
475	2079	2289
476	2083	2284
477	2087	2279
478	2091	2275
479	2095	2270
480	2099	2265
481	2103	2260
482	2109	2257
483	2117	2257
484	2124	2255
485	2130	2253
486	2134	2248
487	2139	2244
488	2144	2241
489	2149	2237
490	2154	2233
491	2159	2230
492	2164	2226
493	2168	2221
494	2174	2218
495	2179	2214
496	2184	2210
497	2190	2207
498	2194	2203
499	2199	2199
500	2205	2196
501	2210	2192
502	2213	2187
503	2218	2182
504	2222	2178
505	2227	2174
506	2231	2169
507	2235	2164
508	2239	2160
509	2243	2155
510	2247	2150
511	2251	2145
512	2255	2141
513	2259	2136
514	2263	2131
515	2267	2126
516	2271	2122
517	2275	2117
518	2279	2112
519	2282	2107
520	2288	2104
521	2295	2101
522	2301	2098
523	2306	2095
524	2310	2090
525	2315	2086
526	2320	2082
527	2324	2077
528	2328	2073
529	2333	2068
530	2337	2064
531	2341	2060
532	2346	2055
533	2350	2051
534	2355	2046
535	2360	2043
536	2365	2039
537	2370	2035
538	2374	2031
539	2379	2026
540	2384	2023
541	2389	2018
542	2393	2014
543	2397	2009
544	2402	2005
545	2406	2001
546	2410	1996
547	2415	1992
548	2421	1988
549	2425	1984
550	2428	1979
551	2433	1975
552	2437	1970
553	2441	1965
554	2445	1961
555	2453	1959
556	2459	1956
557	2465	1953
558	2471	1950
559	2476	1946
560	2482	1942
561	2486	1938
562	2491	1934
563	2496	1930
564	2501	1926
565	2506	1921
566	2511	1917
567	2515	1913
568	2520	1909
569	2525	1905
570	2530	1901
571	2535	1897
572	2540	1893
573	2545	1889
574	2551	1886
575	2556	1881
576	2560	1877
577	2565	1872
578	2569	1868
579	2574	1864
580	2579	1859
581	2583	1855
582	2588	1851
583	2592	1846
584	2597	1843
585	2602	1838
586	2606	1833
587	2610	1828
588	2614	1824
589	2619	1820
590	2622	1814
591	2626	1810
592	2631	1805
593	2635	1801
594	2639	1796
595	2643	1792
596	2651	1790
597	2658	1787
598	2663	1783
599	2668	1779
600	2673	1774
601	2678	1771
602	2683	1766
603	2687	1761
604	2693	1758
605	2698	1754
606	2702	1749
607	2707	1745
608	2712	1741
609	2718	1737
610	2722	1733
611	2730	1731
612	2735	1726
613	2740	1723
614	2746	1719
615	2751	1715
616	2755	1710
617	2760	1706
618	2765	1702
619	2769	1697
620	2775	1693
621	2780	1689
622	2784	1685
623	2789	1680
624	2794	1676
625	2798	1672
626	2802	1667
