song_title,artist,lyrics
Mask Off,Future, call call hendrix promise swear swear heard spit yo percocets ya molly percocets percocets percocets ya molly percocets percocets rep set yee gotta rep set gang gang chase check chase never chase bitch chase bitches mask fuck mask mask mask fuck mask mask percocets cets molly percocets percocets chase check chase never chase bitch chase bitches two cups cup toast gang gang gang food stamps whole nother domain ya bottom ye I livin proof super compromisin woah half million coupe gang gang drug houses lookin like peru woah woah woah graduated crazy overdue I due pink molly molly can barely move barely move ask bout I gon bust move rick james james thirtythree chains thirtythree ocean air air cruisin biscayne top ya thats liability big foreigns hit gas gas boostin adrenaline big foreigns percocets ye molly percocets big foreigns percocets ye molly percocets big foreigns rep set ye gotta rep set gang gang chase check chase ye never chase bitch chase bitches big foreigns mask ye fuck mask mask big foreigns mask ye fuck mask mask big foreigns percocets ye molly percocets big foreigns chase check chase ye ye never chase bitch chase bitches ford maybach ford drive anything ye buy range ye make em go insane ye oh lord praise guillotine drank promethazine drank prometh tec beams ya go extremes let us go let us go parliament parliament calamari wednesday ya parlay vegas attendance good good business yeah theodore lenses theodur prescriptions ya focus missions fo intermission hol never take break can pull switch states touch foreign plates speech way fuckin way call play come play rob bank gon rob game gang gang gang gang freebandz percocets ye molly percocets big foreigns percocets ye molly percocets big foreigns rep set ye gotta rep set gang gang chase check chase ye never chase bitch chase bitches big foreigns mask ye fuck mask mask big foreigns mask ye fuck mask mask big foreigns percocets ye molly percocets big foreigns chase check chase ye ye never chase bitch chase bitches mask fuck mask mask fuck mask mask fuck mask gas gone never nod cold chills prison cells oh lord praise be embed share urlcopy embed copy
Xanny Family,Future, three exotic broads got em soakin panties told em certified welcome xanny family woah woah hndrxx say sumn real spitta yeah yeah three exotic broads got em soakin panties told em certified welcome xanny family woah woah welcome family baby woah woah pop one cmon three exotic broads yeah got em soakin panties told em certified welcome xanny family woah woah certified woah woah certified certified certified three exotic broads woah got em actin jiggy woah got em suckin takin bars woah now screamin team litty woah woah woah woah team litty I just tryna slide lil shawty hit side door side get penalized come around enough dough nah keep bag xannies woah tryna join family family got sauce sauce offwhite tanny tanny puerto rican freakin oh sneakin done ordered goin inside spur like party bus pardon take greed never brag boast never brag speak inglo know like toot coke three exotic broads got em soakin panties told em certified certified welcome xanny family woah woah welcome fam baby welcome fam woah woah welcome fam three exotic broads got em soakin panties got em told em certified welcome xanny family woah woah got em promethazine codeine champagne us sauce look clean like angel dust workin everyday us freebandz comin crib bring gang tuss woah woah dip blunt I tryna smoke mud smoke loaded gun I tryna smoke plug get wavin hammer I gonna soak ya uh got trophies got dolce got way bigger bus way bigger bus get loaded ceiling gotta roll bud yeah I amma dab inside backwood play nose got oxycontin roxy bout play hoes got bitches drunk sloppy ready come clothes two three exotic broads got em soakin panties told em certified welcome xanny family woah woah welcome fam woah woah welcome fam three exotic broads got em soakin panties told em certified welcome xanny family woah woah certified woah woah certified certified certified team litty puerto rican freakin oh sneakin done ordered goin inside spur like party bus pardon take greed never brag boast speak inglo know like toot coke embed share urlcopy embed copy
Blood On the Money,Future, gave lil trotty thangs nigga walk give friends nigga walk give see friends nigga young metro young metro young metro laundromat day washin money day heard police lookin cause got hood hot laundromat day washin money day heard police lookin cause got hood hot got blood money still count got blood money still count can help way I raised easter pink tried give can give grams serve porch just seent narcs ran house homicide unit coming house cousin murked nigga just got hang killers robbers pour drank say fuck problems hood treat like I el chapo keep dog food like I ralo warrant clayco beat case man I fresh hell bitch easter day ghetto tactics I average I tune man I ambitious grab another fanta let fill make channel built like us federales fuckin nigga ty black amigo gang til nigga die feel I walkin hell swear god I will never tell try give nigga chair tell mama wish well got blood money still count got blood money still count got girl money still count got boy money watch nigga count know devil real know devil real take dose pills get real low field I will fly la today live high hills share mansion goonies shared bitch goonie took mack bal harbor niggas slippin got em took pack paris money got married molly got married devoted everything niggas mean everything deep inside chevy yeah tryna get ask know whip yeah fuck witness got blood money still count got blood money still count can help way I raised easter pink tried give can give put ugly made million dollars say love way destroyed kept real lil shorty I goin bar bar niggas know poppin can go car car bitches quarter million least two thousand shoes keep shit feet I prolly mood fuck bitch beach dropped school get money like meech send junkie send driver just get somethin eat see things change came cocaine got blood money still count got blood money still count can help way I raised easter pink tried give can give hang killers robbers pour drink say fuck problems federales fuckin nigga ty black amigo gang til nigga die heard police lookin cause got hood hot heard police lookin cause got hood got girls money still count got boy money watch nigga count it embed share urlcopy embed copy
Move That Dope,Future, real dope dealers real haha hahaha young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope whippin yam whippin flippin yam turn whole brick lam rerockin dope soon get boat keepin soft like mink gold link coke sink choppin work like karate servin new maserati brand new maserati whole lot new money snatch hide movin squares bales servin rawest yayo beating china like kunta kinte whippin whippin fish parkay drinkin syrup I rollin haze made boss boss plug either way put nigga I good triple salute nigga straight hood bakin soda water splash scales fork right pot left leanin way side whip four way nine dirty money homicide recipe can televised young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga move dope young nigga move dope move dope move dope young nigga move dope young nigga young nigga move dope young nigga move dope move dope move dope young nigga move dope young enough still sell dope old enough knows better sayin white powder knows better get nigga nose better put smile devils face wanna sell dope forever flood rollie till bezel break woo fish scale twodoor fishtails fiberglass ferrari leather designer shit misspell yughh look clues js jewels I actin monkey years old I whippin kitchens fuckin junkies pablo versace way migos dinner plates silverware niggas hijos toss kilo like free throw crack house peephole made side now nothings big ego push young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga move dope young nigga move dope move dope move dope young nigga move dope young nigga young nigga move dope young nigga move dope move dope move dope young nigga move dope try leave best later pusha tried put respirator old skateboard p favorite twenty girls doin yoga naked frequency high like spaceship say like exposed gandalf hat weird ass clothes comme des gar ons buffalo know guerrillas triggers banana clip packin biggest missiles niggas knocking vehicles niggas waitin just see niggas niggas tryna hear plea niggas niggas like choppin trees niggas niggas squeeze niggas niggas hit weed lean niggas gee nigga got two hoes need let one go two lambos need let one go drones yall smoke dro eye sky I tryna let yall know standards I ama set one though big ass bag man sandals war need let go boom business I ama get ho young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga move dope young nigga move dope move dope move dope young nigga move dope young nigga young nigga move dope young nigga move dope move dope move dope young nigga move dope young nigga got coke whip dope like bad child think coupe roof young nigga cashed popped many percs popped many xans young nigga bout pass jump behind got car young nigga bout smash migo hit line say got bricks young fresh bout buy em quik trip round corner dropped nine got js lunch line smokin iron cocaine cocaine cowboy like mickey munday take project whip line wait keep coat I servin dope js hood smoke crack say give em hope serve nigga whole brick hopin come go young nigga tricked now spendin money casino young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga young nigga move dope young nigga move dope ayy move dope ayy move dope young nigga move dope young nigga move dope young nigga move dope move dope move dope young nigga move dope young nigga young nigga move dope young nigga move dope move dope move dope young nigga move dope embed share urlcopy embed copy
Blow a Bag,Future, yeah woke feeling like fucking paper freebandz freebandz blow bag today nothin fugazi blow bag today walk mall go crazy blow bag today hop whip em babe blow bag today hop whip em babe blow bag today blow bag today blow bag today chyna gon fuck crazy blow bag today blow bag today blow bag today nothin fugazi bag today blow bag today grab wraith grab wraith change safe change bitch moneyll change nigga famell change bitch know came poverty got name poverty know sure sure granddad livin know proud know sure sure snupe living know proud know sure sure lonzo livin never doubted know sure sure live diamonds just check clarity gotta just check clarity get fly like parachute pull right now embarrass sold crack avenue strong survive I just enjoying life blow bag today nothin fugazi blow bag today walk mall go crazy blow bag today hope whip em babe blow bag today hop whip em babe blow bag today blow bag today blow bag today chyna gon fuck crazy blow bag today blow bag today blow bag today nothin fugazi ran niggas get money stay niggas know money can change niggas look like nigga just hope can remain humble hop ghost jungle sell dope apartments I bout cut niggas know runnin niggas wanna see niggas get niggas strive real niggas come across yeah know either way goes sunny gon know either way goes doe boy gon young metro even nigga broke scooter always pourin thought told come time persevere knew thered come time blow bag today nothin fugazi blow bag today walk mall go crazy blow bag today hop whip em babe blow bag today hop whip em babe blow bag today blow bag today blow bag today chyna gon fuck crazy blow bag today blow bag today blow bag today nothin fugazi future hendrix red bottoms walk come talk gon make throw racks baby ayy embed share urlcopy embed copy
Lay Up,Future, beast mode zaytoven fuck bitch lay fuck bitch lay fuck bitch lay yeah passed like layup layup tripled cups like addict god come late night xannies god tell back action action tell back action one hundred yeah get mouth regular ayy get lip cellular ayy fuck pussy regular savage take xans regular swear I average unregular one hundred shit regular one hundred jump whip regular skrrt I flippin script regular let us get I just local pedestrian one hundred get work mexicans swear ride niggas like mexicans I sell keys regular I push start car regular freebandz watch chain regular freebandz smash broad regular swear let m nage regular fuck bitch lay fuck bitch lay fuck bitch lay yeah passed like layup layup tripled cups like addict god come late night xannies god tell back action action tell back action one hundred yeah I back xannies woah I back action I back action I back double cup now done tripled back chanel bag cost bale spend money regular regular blow racks regular one hundred will hit blunt regular one hundred got mouth regular swear smokin kush like regular one hundred drivin whip like regular skrrt two hundred zip actavis skrrt keep planet ape ape add shine face homie face quadruple clarity yeah yeah rollie got bitch dope dick I tellin ya said cummin like yeah yeah yeah yeah fuck bitch lay fuck bitch lay fuck bitch lay yeah passed like layup layup tripled cups like addict god come late night xannies god tell back action action tell back action one hundred tell back action action tell back xannies one hundred let us pop vicodin wanna last year dead broke nigga god can judge us god can judge us take bar love bar love bar love bar love want money sure sure one hundred go work pink toe one hundred go work pink pony one hundred came ceiling clothes clothes hit hood clothes clothes gram good nose runnin nose fucked good nose runnin nose runnin cold hood like nose run nose run put flat back yeah yeah yeah fuck bitch lay fuck bitch lay fuck bitch lay yeah passed like layup layup tripled cups like addict god come late night xannies god tell back action action tell back action one hundred fuck bitch lay fuck bitch lay fuck bitch lay yeah passed like layup layup tripled cups like addict god come late night xannies god tell back action action tell back action one hundred yeah god god action one hundred embed share urlcopy embed copy
Selfish,Future, ooh ooh yeah right even though felt wrong nothin ever stopped showin progression suddenly broken lies driving backwards making wrong turns saying wrong words dodging angels ohoh let us alone let us alone let us one ohoh let us alone empty thoughts fill room mm breathe I will breathe let us selfish selfish bae yeah tonight tonight let us selfish selfish baby tonight tonight tonight yeah yeah just hit lick south france currency exchange lookin fancy money dirty make dance karats cost mansion gold rose petals bottle standin came concrete takin chances pop gold ace like xanny just need blessin family broken lies love without us will die roses turn dust every night gettin popular wrong right comes us oh let us alone let us alone mmm tonight let us selfish selfish bae yeah tonight tonight let us selfish selfish baby tonight tonight tonight yeah yeah I will selfish let us selfish ohoh ohoh yeah yeah ooh ooooooh I will selfish let us selfish let us let us selfish yeah yeah embed share urlcopy embed copy
Mask Off,Future, call call hendrix promise swear swear heard spit yo percocets ya molly percocets percocets percocets ya molly percocets percocets rep set yee gotta rep set gang gang chase check chase never chase bitch chase bitches mask fuck mask mask mask fuck mask mask percocets cets molly percocets percocets chase check chase never chase bitch chase bitches two cups cup toast gang gang gang food stamps whole nother domain ya bottom ye I livin proof super compromisin woah half million coupe gang gang drug houses lookin like peru woah woah woah graduated crazy overdue I due pink molly molly can barely move barely move ask bout I gon bust move rick james james thirtythree chains thirtythree ocean air air cruisin biscayne top ya thats liability big foreigns hit gas gas boostin adrenaline big foreigns percocets ye molly percocets big foreigns percocets ye molly percocets big foreigns rep set ye gotta rep set gang gang chase check chase ye never chase bitch chase bitches big foreigns mask ye fuck mask mask big foreigns mask ye fuck mask mask big foreigns percocets ye molly percocets big foreigns chase check chase ye ye never chase bitch chase bitches ford maybach ford drive anything ye buy range ye make em go insane ye oh lord praise guillotine drank promethazine drank prometh tec beams ya go extremes let us go let us go parliament parliament calamari wednesday ya parlay vegas attendance good good business yeah theodore lenses theodur prescriptions ya focus missions fo intermission hol never take break can pull switch states touch foreign plates speech way fuckin way call play come play rob bank gon rob game gang gang gang gang freebandz percocets ye molly percocets big foreigns percocets ye molly percocets big foreigns rep set ye gotta rep set gang gang chase check chase ye never chase bitch chase bitches big foreigns mask ye fuck mask mask big foreigns mask ye fuck mask mask big foreigns percocets ye molly percocets big foreigns chase check chase ye ye never chase bitch chase bitches mask fuck mask mask fuck mask mask fuck mask gas gone never nod cold chills prison cells oh lord praise be embed share urlcopy embed copy
Redbone,Childish Gambino, daylight wake feeling like will play right used know now shit feel right made put away pride long made nigga wait long make hard boy like go I wishing make mine oh want yeah can oh oh oh need ooh can make oh want can stay woke niggas creepin gon find gon catch sleepin ooh now stay woke niggas creepin now close eyes late wanna make right now late peanut butter chocolate cake koolaid I trying waste time want oh can can need better believe something can make oh want can ah stay woke stay woke niggas creepin creepin gon find gon find gon catch sleepin gon catch sleepin put hands now baby ooh now stay woke niggas creepin now close eyes stay woke ooh niggas creepin gon find gon find gon catch sleepin ooh gon catch gon catch now stay woke niggas creepin now close eyes get scandalous oh get scandalous oh oh baby get get scandalous get scandalous stay woke stay woke embed share urlcopy embed copy
"III. Telegraph Ave. (""Oakland"" by Lloyd)",Childish Gambino, power la ya girl yesi ortiz got brandnew music need yall turn let know think lloyd called oakland power making japanese watching dvds oakland oakland now I driving waits til arrive oakland oakland everything wanted gotta drive moment tell turn around I moment know know get I lonely think moments everything oakland oakland foot gas I just trying pass red lights stop signs I ready go get bay babe problem I way scared call might get stay oh really mind drive think I rather die oakland oakland hands two ten guess depends oakland oakland I nervous truth told never saw growing old oakland oakland married tonight probably start riot oakland oakland everything needed now got feelings everything will say tweet nigga dont like shit treated can just roll feeling can just roll minute wait minute foot gas I just trying pass red lights stop signs I ready go I really ready girl problem I way scared fall know choose stay oh girlfriends saying go rich kid act like gentleman last one end like two dates still wanna get saying internet try next chick xo o face exes right can thing wanna thoughts can breathe thinking asthmatic wanna mom mad thinking bout I really bad I thinking bout weeks dubai fourth july house kauai yeah can try let us try whoa took ninetofive still time kiss just hit left alone still pick phone iffy miss got furniture move will thirty soon oakland oakland one know fuck I supposed oakland oakland oakland oakland oakland oakland oakland oakland oakland oakland oakland oakland embed share urlcopy embed copy
